instance, execution time [ns], path, path weight, is correct
gr17.tsp, 442250649042, 15->11->8->4->1->9->10->2->14->13->16->5->7->6->12->3->0, 2085, true
gr17.tsp, 532453598625, 15->11->8->4->1->9->10->2->14->13->16->5->7->6->12->3->0, 2085, true
gr17.tsp, 491366660291, 15->11->8->4->1->9->10->2->14->13->16->5->7->6->12->3->0, 2085, true
gr17.tsp, 376767351750, 15->11->8->4->1->9->10->2->14->13->16->5->7->6->12->3->0, 2085, true
gr17.tsp, 431192876125, 15->11->8->4->1->9->10->2->14->13->16->5->7->6->12->3->0, 2085, true
gr17.tsp, 487544952166, 15->11->8->4->1->9->10->2->14->13->16->5->7->6->12->3->0, 2085, true
