instance, execution time [ns], path, path weight, is correct
gr21.tsp, 69327608542, 6->7->5->15->4->8->2->1->20->14->13->12->17->9->16->18->19->10->3->11->0, 2707, true
gr21.tsp, 69182800250, 6->7->5->15->4->8->2->1->20->14->13->12->17->9->16->18->19->10->3->11->0, 2707, true
gr21.tsp, 69379746833, 6->7->5->15->4->8->2->1->20->14->13->12->17->9->16->18->19->10->3->11->0, 2707, true
gr21.tsp, 68911492875, 6->7->5->15->4->8->2->1->20->14->13->12->17->9->16->18->19->10->3->11->0, 2707, true
gr21.tsp, 69172322625, 6->7->5->15->4->8->2->1->20->14->13->12->17->9->16->18->19->10->3->11->0, 2707, true
gr21.tsp, 69201314416, 6->7->5->15->4->8->2->1->20->14->13->12->17->9->16->18->19->10->3->11->0, 2707, true
